shop;key;value
shop_1;sale;145027
shop_1;refund;21754,05
shop_1;upsale;870,162
shop_2;sale;95121
shop_2;refund;5707,26
shop_2;upsale;114,1452
shop_3;sale;87957
shop_3;refund;12313,98
shop_3;upsale;1847,097
shop_4;sale;135501
shop_4;refund;6775,05
shop_4;upsale;880,7565
shop_5;sale;141863
shop_5;refund;12767,67
shop_5;upsale;638,3835
shop_6;sale;62115
shop_6;refund;8696,1
shop_6;upsale;521,766
shop_7;sale;62320
shop_7;refund;8101,6
shop_7;upsale;729,144
shop_8;sale;176258
shop_8;refund;10575,48
shop_8;upsale;2115,096
shop_9;sale;116446
shop_9;refund;17466,9
shop_9;upsale;2794,704
